Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
CAPITAL MONEY MARKET FUND,0.000000,0.000000,-10.408395,0.000000,0.048440,158832645788.690002
Prospera Balance Return Optimiser,0.754384,0.024837,1.283363,0.184309,-0.012345,108030397581.460007
BNI-AM Proteksi Squamosa,0.000000,0.000000,-0.818003,0.000000,0.029922,49245414905.250000
MNC DANA PENDAPATAN TETAP III,0.526557,0.019027,0.271171,0.008215,0.032245,721387341619.359985
BNP PARIBAS KAPITAL VI,0.000000,0.000000,-3.086946,0.000000,-0.023206,216430149634.850006
HPAM ULTIMA BALANCE,0.040167,-0.052442,-1.953817,-1.154201,-0.197746,64731124727.349998
Batavia Dana Kas Nusantara,0.000000,0.000000,-37.112232,0.000000,0.028301,322885401128.330017
BAHANA DANA EKUITAS ANDALAN,1.160690,-0.072984,0.696403,0.088505,-0.048658,531627614511.369995
FWD ASSET LONG TENOR BOND FUND,0.449856,-0.105837,-6.402911,-0.332785,-0.052189,10893023994.000000
Capital Optimal Protected Fund 7,0.000000,0.000000,-1.873737,0.000000,0.004619,103893641455.679993
Batavia Proteksi Maxima 3,0.000000,0.000000,-2.104483,0.000000,-0.010316,137167725035.000000
Mandiri Seri 195,0.000000,0.000000,-2.003999,0.000000,-0.001245,202852884570.160004
SAM Dana Obligasi Prima,0.581189,-0.010408,-1.519721,-0.045828,0.001284,585273908319.449951
Setiabudi Dana Campuran,0.568352,0.096716,1.981651,0.321553,0.031371,56131905574.250000
UOBAM ESG Pasar Uang Indonesia,0.000000,0.000000,-42.050579,0.000000,0.024563,96106781873.940002
CAPITAL BALANCED FUND,0.395504,0.078121,1.323873,0.348907,-0.013391,711063878105.359985
BNI-AM PROTEKSI XLVIII,0.000000,0.000000,-1.869551,0.000000,0.002845,105186721412.660004
Manulife Dana Kas II Kelas A,0.000000,0.000000,-36.395889,0.000000,0.026268,3289366429000.009766
Kiwoom Indonesia Bond Plus Fund,0.581233,-0.017118,-2.175024,-0.057370,-0.005426,465152033937.039978
CIMB Principal CPF CB XXXVI,0.000000,0.000000,-0.904019,0.000000,0.002837,202944865.190000
ITB-Niaga,0.700146,-0.042976,-3.345454,-0.089301,-0.034605,50394482630.860001
REKSA DANA TERPROTEKSI MANDIRI SERI 202,0.000000,0.000000,-2.271051,0.000000,-0.026094,144321265449.000000
Avrist Ada Obligasi Berlian,0.668021,-0.086800,-2.570073,-0.157856,-0.077532,177390476224.760010
Danareksa Proteksi 51,0.000000,0.000000,-2.640651,0.000000,-0.028557,119000216109.669998
Batavia Dana Kas Maxima,0.000000,0.000000,-41.384087,0.000000,0.027360,8882629856710.000000
SYAILENDRA CAPITAL PROTECTED FUND 11,0.000000,0.000000,-1.861241,0.000000,-0.006809,26017554991.279999
MANDIRI PENDAPATAN TETAP INDONESIA SEHAT,0.955751,-0.007373,-1.302316,-0.035634,-0.006138,10676461487.980000
Sucorinvest Proteksi 38,0.000000,0.000000,-0.276124,0.000000,0.048663,239586399245.290009
SYAILENDRA DANA KAS,0.000000,0.000000,-18.311949,0.000000,0.040811,3729787901249.750000
ASHMORE DANA USD EQUITY NUSANTARA,1.097195,-0.020585,0.884335,0.132623,-0.005871,6305092.934750
MNC DANA TERPROTEKSI IX,0.000000,0.000000,-1.641555,0.000000,-0.023179,233045248090.230011
BNI-AM Proteksi Flamboyan,0.000000,0.000000,-1.720101,0.000000,-0.017472,53976657822.839996
BAHANA E OPTIMA PROTECTED FUND 125,0.000000,0.000000,-1.479048,0.000000,-0.000559,105849030512.089996
RHB Sri Kehati Index Fund,1.160645,0.020754,1.210010,0.169267,0.045074,152891547394.000000
ETF MNC36 Likuid,1.032881,-0.030239,0.873515,0.122108,-0.025262,6724973672.750000
Cipta Proteksi IV,0.000000,0.000000,-2.208243,0.000000,-0.045694,119816896644.009995
Lautandhana Pasar Uang Optima,0.000000,0.000000,-8.926328,0.000000,0.005223,300606074563.919983
Manulife Saham Syariah Global Dividen Dolar As Kelas A3,0.000000,0.000000,-0.722352,0.000000,-0.030278,21791975.783980
Bahana Centrum Protected Fund 192,0.000000,0.000000,-2.236488,0.000000,-0.004408,539130853617.440002
Pinnacle Dana Obligasi Unggulan,0.580718,0.016020,-0.011513,-0.000332,0.027726,834204673260.089966
Insight Syariah V,0.000000,0.000000,-1.472736,0.000000,0.002263,44307834247.360001
Danareksa Proteksi 64,0.000000,0.000000,-2.818925,0.000000,-0.011631,469011206008.679993
Mega Asset Terproteksi 15,0.000000,0.000000,-1.108432,0.000000,0.004082,27429531362.480000
MNC Dana Terproteksi XX,0.000000,0.000000,-0.772619,0.000000,0.004372,328345073647.919983
Syailendra Capital Protected Fund 36,0.000000,0.000000,-1.552719,0.000000,-0.010803,147886720337.220001
Reksa Dana Syariah Terproteksi BNI AM Amanah II,0.000000,0.000000,-1.390970,0.000000,0.006235,83980237695.759995
Simas ETF IDX30,1.181548,0.024840,1.303202,0.172408,0.052323,9415895117.780001
BNP Paribas Prima II Kelas IK1,0.728198,-0.022146,-2.306554,-0.058331,-0.014557,59566802804.760002
